Donor Potential,Donor Name,Demographic,Region,State or Province,City,Postal Code,Donation Date,Donation Amount
Hi,Jennifer Marks,Upper Class,South,Tennessee,Cleveland,37311,7/21/2014,153.96
Med,Larry Langston,Upper Class,South,South Carolina,Spartanburg,29301,7/25/2014,61.87
Hi,Dana Jain,Upper-Middle Class,South,Florida,Apopka,32712,7/26/2014,1357.19
Hi,Katharine Hudson,Middle Class,South,Tennessee,Clarksville,37042,7/26/2014,949.61
Not Specified,Samuel Newman,Upper Class,South,South Carolina,Summerville,29483,7/30/2014,164.67
Hi,Kristine Holden,Upper-Middle Class,South,South Carolina,Mauldin,29662,8/1/2014,267.7
Not Specified,Keith Hobbs,Middle Class,South,Kentucky,Danville,40422,8/3/2014,32.58
Hi,Erika Clapp,Middle Class,South,Tennessee,Chattanooga,37421,8/4/2014,84.72
Lo,Cameron Owens,Upper Class,South,Kentucky,Covington,41011,8/4/2014,27.24
Not Specified,Jon Beasley,Upper Class,South,Georgia,Marietta,30062,8/4/2014,218.15
Hi,Barbara Whitfield,Upper Class,South,Virginia,Lynchburg,24501,8/5/2014,563.93
Hi,Dawn Langley Conrad,Middle Class,South,Florida,Port Saint Lucie,34952,8/7/2014,156.75
Med,Lawrence Haas,Upper Class,South,Florida,Port Saint Lucie,34952,8/7/2014,83.14
Lo,Eleanor Swain,Upper-Middle Class,South,North Carolina,Charlotte,28204,8/8/2014,912.06
Lo,Theresa Winters,Middle Class,South,Arkansas,Bryant,72022,8/8/2014,62.63
Med,Annie Horne,Upper Class,South,Florida,Fort Myers,33917,8/8/2014,20.94
Hi,Kim Weiss,Middle Class,South,Florida,Miami,33132,8/9/2014,212.89
Hi,Beth Dolan,Upper Class,South,Florida,Panama City,32404,8/11/2014,2439.37
Lo,Bonnie Matthews Rowland,Middle Class,South,Florida,Miami,33916,8/11/2014,41.22
Lo,Brad H Blake,Upper Class,South,Florida,Gainesville,32601,8/11/2014,377.15
Lo,Julie Lang,Upper Class,South,Louisiana,Houma,70364,8/12/2014,24.79
Hi,Ricky Allred,Middle Class,South,South Carolina,Columbia,29203,8/13/2014,366.26
Not Specified,Crystal Crabtree,Upper Class,South,Florida,West Palm Beach,33407,8/13/2014,155.16
Med,Kenneth Capps,Middle Class,South,Florida,Melbourne,32935,8/16/2014,709.7
Not Specified,Laurence Flowers,Middle Class,South,Mississippi,Biloxi,39530,8/16/2014,336.25
Hi,Edna Goodwin,Upper Class,South,North Carolina,Greensboro,27405,8/17/2014,898.09
Hi,Troy Hendrix,Upper Class,South,Florida,Fort Pierce,34982,8/19/2014,79.67
Med,Marjorie Burnette,Upper Class,South,Tennessee,Cleveland,37311,8/21/2014,364.92
Lo,Edna Michael,Upper-Middle Class,South,Florida,Port Charlotte,33952,8/22/2014,1237.4
Med,Allan Shields,Middle Class,South,Florida,Seminole,33772,8/23/2014,240.63
Hi,Maria Jackson,Upper-Middle Class,South,Florida,Miami,33180,8/25/2014,438
Med,Lynn Payne,Middle Class,South,Virginia,Rose Hill,24281,8/25/2014,1452.18
Not Specified,Annette McIntyre,Upper Class,South,Georgia,Kennesaw,30144,8/25/2014,272.23
Hi,Steve McKee,Upper-Middle Class,South,Tennessee,Murfreesboro,37130,8/26/2014,124.3
Lo,Jennifer Stanton,Middle Class,South,Florida,Winter Garden,34787,8/27/2014,104.17
Lo,Kathy Shah,Middle Class,South,North Carolina,Garner,27529,8/28/2014,75.26
Not Specified,Lee McKenna Gregory,Middle Class,South,South Carolina,Hilton Head Island,29915,8/28/2014,30.86
Hi,Carol Saunders,Upper Class,South,Kentucky,Bowling Green,42104,8/29/2014,646.97
Med,Clyde Norman,Upper Class,South,North Carolina,Jacksonville,28540,8/29/2014,92.76
Hi,Robyn Hayes,Upper Class,South,Tennessee,Brentwood,37027,8/31/2014,207.22
Lo,Virginia Gill,Upper Class,South,Kentucky,Richmond,40475,8/31/2014,55.61
Med,Rhonda Bryant,Upper Class,South,Florida,Winter Haven,33881,8/31/2014,900.12
Hi,Claudia White,Upper-Middle Class,South,Tennessee,Gallatin,37066,9/1/2014,66.26
Lo,Renee Conrad,Upper Class,South,Florida,Lakeland,33801,9/2/2014,1369.95
Med,Rhonda Bryant,Upper Class,South,Florida,Winter Haven,33881,9/3/2014,75.67
Hi,Edna Goodwin,Upper Class,South,North Carolina,Greensboro,27405,9/5/2014,69.44
Lo,Glenn Jain,Upper Class,South,Florida,Titusville,32780,9/7/2014,523.4
Hi,Daniel Christian,Middle Class,South,Louisiana,New Orleans,70117,9/9/2014,3.36
Hi,Ricky Allred,Middle Class,South,South Carolina,Columbia,29203,9/9/2014,431.11
Not Specified,Jill Clements,Upper Class,South,Virginia,Montclair,22025,9/9/2014,431.54
Hi,Kim Ellington,Upper-Middle Class,South,Tennessee,Nashville,37211,9/10/2014,1858.7
Hi,Rhonda Tuttle,Upper Class,South,Louisiana,Kenner,70065,9/12/2014,551.35
Not Specified,Laurie Petty,Middle Class,South,Florida,Jupiter,33458,9/12/2014,511.57
Lo,Geoffrey Zhu,Middle Class,South,Tennessee,Kingsport,37664,9/13/2014,139.34
Hi,Roger Hopkins,Upper Class,South,Arkansas,Conway,72032,9/15/2014,55.18
Med,Claudia Webb,Middle Class,South,North Carolina,Indian Trail,28079,9/15/2014,146.5
Med,Angela Rose,Middle Class,South,Florida,Spring Hill,34609,9/17/2014,43.84
Med,Robyn Crawford,Upper-Middle Class,South,Tennessee,Germantown,38138,9/17/2014,626.95
Not Specified,Hazel Lindsay,Upper-Middle Class,South,Mississippi,Long Beach,39560,9/19/2014,140.55
Not Specified,Rodney Proctor,Middle Class,South,Kentucky,Nicholasville,40356,9/19/2014,101.41
Lo,Vivian Goldstein,Middle Class,South,Florida,Brandon,33511,9/20/2014,64.78
Med,Steve Raynor,Upper Class,South,South Carolina,Taylors,29687,9/20/2014,204.16
Lo,Barbara Whitfield,Middle Class,South,Virginia,Lynchburg,24501,9/21/2014,53.48
Lo,Francis Edwards,Middle Class,South,Georgia,Evans,30809,9/21/2014,73.72
Not Specified,Florence Walters,Middle Class,South,Florida,Bradenton,34210,9/22/2014,62.78
Hi,Caroline Morton,Upper Class,South,Florida,Miami,33178,9/23/2014,25717.76
Hi,Hannah Tyson,Middle Class,South,Arkansas,Paragould,72450,9/23/2014,95.33
Hi,Bradley Schroeder,Upper-Middle Class,South,Alabama,Auburn,36830,9/24/2014,52.27
Med,Janice Boswell,Upper-Middle Class,South,Florida,Port Orange,32127,9/24/2014,368.85
Lo,Harriet Bowman,Middle Class,South,South Carolina,Hilton Head Island,29915,9/25/2014,32.66
Med,Beverly Cameron,Middle Class,South,North Carolina,Apex,27502,9/26/2014,1062.64
Lo,Elsie Dodson,Upper Class,South,Georgia,Peachtree City,30269,9/27/2014,115.56
Not Specified,Louise Webster Sharma,Upper Class,South,North Carolina,Hickory,28601,9/28/2014,306.94
Hi,Carolyn Fisher,Middle Class,South,Arkansas,Sherwood,72116,10/3/2014,799.76
Hi,Grace Everett,Upper Class,South,Alabama,Oxford,36203,10/5/2014,89.26
Hi,Marsha Roy,Upper Class,South,Mississippi,Tupelo,38801,10/5/2014,135.84
Med,Debbie Dillon,Upper Class,South,Georgia,Roswell,30076,10/5/2014,16.5
Not Specified,Gene Gilliam,Upper-Middle Class,South,Georgia,Atlanta,30318,10/5/2014,227.65
Not Specified,Jeffrey Lloyd,Upper Class,South,Virginia,Oakton,22124,10/5/2014,37.57
Lo,John McAllister,Middle Class,South,Florida,Ocoee,34761,10/6/2014,99.89
Lo,Laurence Cummings,Upper-Middle Class,South,Florida,Lehigh Acres,33971,10/6/2014,175.73
Not Specified,Dan Hoover,Upper Class,South,Alabama,Bessemer,35020,10/6/2014,33.3
Med,Benjamin Gunter,Upper-Middle Class,South,Florida,Hialeah,33012,10/8/2014,2273.1
Hi,"Richmond, Danny",Middle Class,South,Florida,Miami,33142,10/9/2014,25.38
Lo,Courtney Boyd,Upper Class,South,Virginia,Fairfax,20151,10/9/2014,84.49
Med,Robyn Crawford,Upper-Middle Class,South,Tennessee,Germantown,38138,10/10/2014,280.71
Hi,Gina McKnight,Middle Class,South,Tennessee,Farragut,37922,10/11/2014,2367.39
Hi,Diane Lu,Upper Class,South,Florida,Tallahassee,32303,10/12/2014,332.16
Not Specified,Andrew Connor,Upper Class,South,North Carolina,Wilmington,28403,10/12/2014,47.9
Hi,Erica Riddle,Middle Class,South,Alabama,Prattville,36067,10/13/2014,20.61
Lo,Laurie Petty,Middle Class,South,Florida,Jupiter,33458,10/15/2014,41.03
Med,Francis Edwards,Middle Class,South,Georgia,Evans,30809,10/15/2014,39.11
Med,Jon Hale,Upper Class,South,Florida,Belle Glade,33430,10/15/2014,22.14
Med,Herbert Holden,Middle Class,South,Georgia,Atlanta,30305,10/16/2014,518.42
Not Specified,Brad H Blake,Upper Class,South,Florida,Gainesville,32601,10/16/2014,3292.02
Hi,Kevin Randall Briggs,Middle Class,South,Florida,Oakland Park,33334,10/18/2014,370.39
Not Specified,Jay Simon,Upper Class,South,Arkansas,Rogers,72756,10/18/2014,4393.66
Hi,Joel Burnette,Upper Class,South,Georgia,Dunwoody,30338,10/19/2014,159.53
Hi,Michelle Bryant Phillips,Upper-Middle Class,South,Georgia,Tucker,30084,10/19/2014,2810.83
Hi,Nathan Fox,Middle Class,South,South Carolina,Myrtle Beach,29577,10/20/2014,258.79
Hi,Marjorie Maxwell,Middle Class,South,North Carolina,Wake Forest,27587,10/22/2014,24.81
Med,Lewis Baldwin,Middle Class,South,Virginia,Montclair,22025,10/22/2014,264.86
Hi,Robin Tyler,Upper Class,South,Kentucky,Murray,42071,10/23/2014,2579.05
Not Specified,Josephine Foley,Middle Class,South,Florida,Jupiter,33458,10/23/2014,343.51
Hi,Ricky W Clements,Upper Class,South,Alabama,Vestavia Hills,35216,10/25/2014,80.47
Med,Rhonda Bryant,Upper Class,South,Florida,Winter Haven,33881,10/25/2014,109.99
Hi,Bob Harrington,Middle Class,South,North Carolina,Kannapolis,28081,10/27/2014,45.51
Hi,Elisabeth Rao,Middle Class,South,North Carolina,Hickory,28601,10/27/2014,23.35
Med,Evelyn Garcia,Upper Class,South,North Carolina,Laurinburg,28352,10/30/2014,1991.15
Hi,Carole Creech,Middle Class,South,Florida,Lake Worth,33461,10/31/2014,36.16
Lo,Kent Kerr,Middle Class,South,Tennessee,Knoxville,37918,10/31/2014,667.84
Lo,Natalie Aldridge,Upper Class,South,Florida,Merritt Island,32953,10/31/2014,2217.2
Med,Lloyd Levin,Upper Class,South,North Carolina,New Bern,28560,10/31/2014,1373.47
Hi,Jackie McCullough,Middle Class,South,Florida,Jacksonville,32216,11/1/2014,102.11
Hi,Rosemary Branch,Upper Class,South,Florida,Boca Raton,33433,11/1/2014,29.85
Hi,William Pace,Upper Class,South,Arkansas,Hot Springs,71901,11/1/2014,1717.53
Lo,Edna Michael,Upper-Middle Class,South,Florida,Port Charlotte,33952,11/1/2014,20.96
Lo,Victor McAllister,Middle Class,South,Georgia,Gainesville,30501,11/1/2014,105.69
Med,Donna Braun,Upper Class,South,Alabama,Hoover,35244,11/1/2014,3550.28
Med,Bernard Thompson,Upper Class,South,North Carolina,Raleigh,27604,11/2/2014,302.35
Hi,Carlos Adkins,Upper-Middle Class,South,Florida,Land O Lakes,34639,11/3/2014,1734.17
Hi,Anthony Greer,Middle Class,South,Georgia,Columbus,31907,11/4/2014,102.98
Lo,Shirley Garner,Middle Class,South,Florida,Oviedo,32765,11/4/2014,69.36
Med,Sandy Hunt,Middle Class,South,Florida,Altamonte Springs,32701,11/4/2014,397.7
Hi,Sherry Hurley,Middle Class,South,North Carolina,Fayetteville,28314,11/5/2014,150.3
Not Specified,Keith Hobbs,Middle Class,South,Kentucky,Danville,40422,11/5/2014,7767.97
Hi,Donna Braun,Upper Class,South,Alabama,Hoover,35244,11/6/2014,57.61
Lo,Kent Gill,Middle Class,South,Alabama,Opelika,36801,11/6/2014,2694.49
Med,Robin Tyler,Upper Class,South,Kentucky,Murray,42071,11/7/2014,1173.76
Hi,Laurence Cummings,Upper-Middle Class,South,Florida,Lehigh Acres,33971,11/10/2014,13.38
Lo,Gail Ellis,Middle Class,South,South Carolina,Rock Hill,29730,11/10/2014,176.86
Med,Marianne Goldstein,Upper-Middle Class,South,Florida,New Smyrna Beach,32168,11/11/2014,93.82
Not Specified,Randall Schneider,Upper-Middle Class,South,Mississippi,Vicksburg,39180,11/11/2014,26.48
Hi,Geoffrey Zhu,Middle Class,South,Tennessee,Kingsport,37664,11/12/2014,28.11
Hi,Ralph Harding,Upper-Middle Class,South,Tennessee,Oak Ridge,37830,11/14/2014,5435.35
Not Specified,Rhonda Stein,Upper Class,South,North Carolina,Salisbury,28144,11/14/2014,21.9
Hi,Gregory R Snow,Middle Class,South,South Carolina,Greer,29651,11/16/2014,46.61
Hi,Todd D Norris,Upper Class,South,Virginia,Newport News,23602,11/16/2014,554.24
Hi,Danny Richmond,Middle Class,South,Florida,Miami,33142,11/17/2014,728.89
Not Specified,Andrew Connor,Upper Class,South,North Carolina,Wilmington,28403,11/17/2014,2929.01
Med,Marc S Liu,Middle Class,South,Louisiana,Marrero,70072,11/19/2014,437.77
Lo,Hannah Tyson,Middle Class,South,Arkansas,Paragould,72450,11/20/2014,168.04
Hi,Debra Cochran,Middle Class,South,Arkansas,Fayetteville,72701,11/21/2014,264.3
Med,Katherine Mills,Upper Class,South,Florida,Palm Coast,32137,11/21/2014,39.97
Not Specified,Arthur Gold,Upper-Middle Class,South,Tennessee,Hendersonville,37075,11/22/2014,12.9
Not Specified,Margaret Olsen,Middle Class,South,North Carolina,Monroe,28110,11/22/2014,77.21
Not Specified,Sandra Sharma,Upper-Middle Class,South,Tennessee,Morristown,37814,11/25/2014,2331.9
Lo,Neal Helms,Upper Class,South,North Carolina,Charlotte,28205,11/27/2014,64.9
Hi,Allen Nash,Upper-Middle Class,South,Virginia,Waynesboro,22980,12/1/2014,657.61
Hi,Andrew Gonzalez,Middle Class,South,North Carolina,Charlotte,28206,12/1/2014,232.5
Hi,Joe George,Middle Class,South,Louisiana,Bossier City,71111,12/2/2014,10.41
Not Specified,Billy Bullock,Middle Class,South,Kentucky,Danville,40422,12/2/2014,11.29
Not Specified,Alfred Burton,Middle Class,South,Alabama,Montgomery,36116,12/3/2014,425.54
Med,Jesse Farrell,Middle Class,South,Kentucky,Louisville,40214,12/4/2014,66.13
Med,Becky Page Cline,Middle Class,South,Kentucky,Hopkinsville,42240,12/5/2014,95.6
Hi,Lester Sawyer,Middle Class,South,Virginia,Fairfax,20151,12/6/2014,2518.37
Hi,Lisa Roberson,Middle Class,South,Florida,Poinciana,34759,12/6/2014,22.11
Hi,Diane Lu,Upper Class,South,Florida,Tallahassee,32303,12/9/2014,147.62
Hi,Erica Riddle,Middle Class,South,Alabama,Prattville,36067,12/9/2014,635.06
Hi,Carla Hauser,Upper Class,South,Arkansas,Texarkana,71854,12/11/2014,85.26
Hi,Gretchen Orr,Upper Class,South,Louisiana,Lake Charles,70601,12/12/2014,267.92
Hi,Laurence Flowers,Middle Class,South,Mississippi,Biloxi,39530,12/12/2014,78.38
Lo,Ken H Frazier,Middle Class,South,Virginia,Oakton,22124,12/12/2014,57.95
Hi,Kyle Fink,Middle Class,South,Virginia,Petersburg,23805,12/13/2014,6355.69
Not Specified,Jennifer Marks,Upper Class,South,Tennessee,Cleveland,37311,12/14/2014,76.95
Hi,Glenda Rosen,Upper-Middle Class,South,Tennessee,La Vergne,37086,12/15/2014,175.65
Hi,Rhonda Stein,Middle Class,South,North Carolina,Salisbury,28144,12/15/2014,169.46
Hi,Ricky Garner,Upper Class,South,Virginia,Herndon,20170,12/15/2014,502.75
Hi,Rhonda Tuttle,Upper Class,South,Louisiana,Kenner,70065,12/16/2014,48.53
Lo,George McLamb,Middle Class,South,Virginia,Alexandria,22304,12/16/2014,1533.59
Hi,Ken Woodward,Upper-Middle Class,South,Kentucky,Henderson,42420,12/18/2014,2469.01
Hi,Kevin Randall Briggs,Middle Class,South,Florida,Oakland Park,33334,12/21/2014,343.61
Hi,Molly Walton Forrest,Upper Class,South,Alabama,Huntsville,35810,12/21/2014,232.66
Hi,Ruby Tate,Middle Class,South,Florida,Palm Beach Gardens,33403,12/21/2014,100.1
Lo,James Nicholson,Middle Class,South,Virginia,Annandale,22003,12/21/2014,361.19
Lo,Jack Morse,Upper Class,South,Florida,Dunedin,34698,12/23/2014,614.18
Med,Earl Roy,Middle Class,South,Florida,Casselberry,32707,12/23/2014,53.44
Med,Warren B Dickerson,Middle Class,South,Kentucky,Owensboro,42301,12/23/2014,43.15
Not Specified,Kevin Wolfe,Upper Class,South,Georgia,East Point,30344,12/23/2014,35.38
Not Specified,Dean Solomon,Upper Class,South,North Carolina,Gastonia,28052,12/24/2014,41.88
Hi,Jesse Farrell,Middle Class,South,Kentucky,Louisville,40214,12/25/2014,554.18
Lo,Natalie Snow,Middle Class,South,Alabama,Selma,36701,12/25/2014,82.53
Hi,Anne Schultz,Upper Class,South,Georgia,Athens,30605,12/26/2014,40.67
Hi,Dana Jain,Upper-Middle Class,South,Florida,Apopka,32712,12/26/2014,23.81
Hi,Katherine W Epstein,Middle Class,South,Mississippi,Jackson,39212,12/26/2014,297.87
Med,Jay Hubbard,Upper Class,South,Florida,Orlando,32839,12/28/2014,170.62
Med,Vicki Hauser,Middle Class,South,Tennessee,Lebanon,37087,12/29/2014,89.17
Not Specified,Larry Langston,Upper Class,South,South Carolina,Spartanburg,29301,12/30/2014,9.83
Med,Charlotte L Doyle,Middle Class,South,Florida,Coral Gables,33134,12/31/2014,18.59
Hi,Donna Block,Upper-Middle Class,South,Georgia,Dalton,30721,1/1/2015,264.95
Lo,Jerry Webster,Upper Class,South,Florida,Fruit Cove,32259,1/1/2015,5295.03
Med,Dean Solomon,Upper Class,South,North Carolina,Gastonia,28052,1/1/2015,1486.34
Not Specified,Sandra Sharma,Upper-Middle Class,South,Tennessee,Morristown,37814,1/1/2015,375.4
Not Specified,Steve Raynor,Upper Class,South,South Carolina,Taylors,29687,1/1/2015,1493.32
Hi,Annie Horne,Middle Class,South,Florida,Fort Myers,33917,1/2/2015,53.42
Lo,Brent Coates,Upper-Middle Class,South,Florida,Margate,33063,1/2/2015,25.04
Hi,Peter McConnell,Middle Class,South,Mississippi,Columbus,39701,1/3/2015,1128.74
Hi,Sharon Thomas,Middle Class,South,Georgia,College Park,30337,1/4/2015,230.64
Lo,Nicole Pope,Upper Class,South,North Carolina,Rocky Mount,27801,1/4/2015,2961.32
Lo,Pauline Erickson Kirkland,Upper Class,South,Arkansas,Springdale,72762,1/6/2015,10.92
Not Specified,"Currie, Herbert",Middle Class,South,Florida,Pine Hills,32808,1/6/2015,52.84
Hi,Anthony Han,Upper Class,South,Tennessee,Memphis,38109,1/9/2015,1304.9
Med,Dwight Hendricks,Middle Class,South,Florida,Plantation,33317,1/9/2015,376.64
Hi,Edna Freeman,Middle Class,South,Virginia,Virginia Beach,23464,1/11/2015,51.9
Hi,Sandy Hunt,Middle Class,South,Florida,Altamonte Springs,32701,1/11/2015,21.46
Hi,Troy Hendrix,Upper Class,South,Florida,Fort Pierce,34982,1/12/2015,250.22
Not Specified,Donna Braun,Upper Class,South,Alabama,Hoover,35244,1/12/2015,76.22
Hi,Sally Dunn,Middle Class,South,Alabama,Tuscaloosa,35401,1/13/2015,612.92
Med,Juan Gold,Middle Class,South,Florida,Pensacola,32503,1/14/2015,43.35
Hi,William McDonald,Middle Class,South,Alabama,Mobile,36608,1/15/2015,1676.8
Lo,Brent Coates,Upper-Middle Class,South,Florida,Margate,33063,1/16/2015,225.17
Hi,Geoffrey Rivera,Upper-Middle Class,South,Virginia,Winchester,22601,1/18/2015,36
Hi,Constance Robertson,Middle Class,South,Florida,Tampa,33614,1/21/2015,246.75
Med,Calvin J Marcus,Middle Class,South,Florida,Coconut Creek,33063,1/21/2015,5822.62
Hi,Benjamin Gunter,Middle Class,South,Florida,Hialeah,33012,1/22/2015,989.22
Hi,Zachary Maynard,Middle Class,South,Virginia,Blacksburg,24060,1/22/2015,1088.26
Med,Louise Webster Sharma,Upper Class,South,North Carolina,Hickory,28601,1/22/2015,32.76
Med,Annette McIntyre,Middle Class,South,Georgia,Kennesaw,30144,1/24/2015,93.28
Hi,Florence Walters,Middle Class,South,Florida,Bradenton,34210,1/25/2015,54.27
Med,Bernard Thompson,Upper Class,South,North Carolina,Raleigh,27604,1/25/2015,751.07
Not Specified,Allen Nash,Upper-Middle Class,South,Virginia,Waynesboro,22980,1/26/2015,46.83
Hi,Herbert Reddy,Middle Class,South,North Carolina,Thomasville,27360,1/28/2015,356.58
Not Specified,Becky Page Cline,Middle Class,South,Kentucky,Hopkinsville,42240,1/28/2015,185.73
Not Specified,Elisabeth Shaw,Upper Class,South,Florida,Ormond Beach,32174,1/30/2015,50.71
Not Specified,Geoffrey Rivera,Upper-Middle Class,South,Virginia,Winchester,22601,1/30/2015,8.27
Med,Ashley C Bridges,Upper Class,South,Arkansas,Little Rock,72209,1/31/2015,83.72
Med,Todd D Norris,Upper Class,South,Virginia,Newport News,23602,1/31/2015,89.09
Lo,Joel Burnette,Upper Class,South,Georgia,Dunwoody,30338,2/1/2015,620.42
Not Specified,Sean Sparks,Upper Class,South,North Carolina,Durham,27707,2/2/2015,87.49
Lo,Larry Hall,Middle Class,South,Alabama,Birmingham,35211,2/3/2015,885
Med,Debra Simon,Middle Class,South,Florida,Hollywood,33021,2/3/2015,534.3
Hi,Larry Hall,Upper-Middle Class,South,Alabama,Birmingham,35211,2/5/2015,178.79
Med,Sharon Hopkins,Upper Class,South,Arkansas,Van Buren,72956,2/5/2015,1353.84
Med,Jane Freeman,Middle Class,South,Florida,Plant City,33566,2/8/2015,3178.22
Lo,Neil Parker,Middle Class,South,Alabama,Decatur,35601,2/10/2015,1316.03
Hi,Lester Copeland,Middle Class,South,Florida,Titusville,32780,2/11/2015,19.02
Not Specified,Herbert Holden,Middle Class,South,Georgia,Atlanta,30305,2/16/2015,45.87
Not Specified,Ray Silverman,Upper Class,South,Florida,Ponte Vedra Beach,32004,2/16/2015,3936.61
Med,Michelle Bryant Phillips,Upper-Middle Class,South,Georgia,Tucker,30084,2/18/2015,78.53
Hi,Juanita Bennett,Middle Class,South,Florida,Miramar,33023,2/19/2015,39.8
Hi,Nathan Newton,Upper Class,South,North Carolina,High Point,27260,2/20/2015,114.91
Hi,Sheryl Reese,Middle Class,South,Kentucky,Owensboro,42301,2/20/2015,80.24
Hi,Eva Decker,Middle Class,South,Georgia,La Grange,30240,2/21/2015,2941.42
Not Specified,Amy Boyd,Upper Class,South,Tennessee,Clarksville,37042,2/21/2015,561.51
Lo,Jennifer Stanton,Middle Class,South,Florida,Winter Garden,34787,2/25/2015,34.99
Med,Larry Langston,Upper Class,South,South Carolina,Spartanburg,29301,2/27/2015,400.19
Hi,Lester Sawyer,Middle Class,South,Virginia,Fairfax,20151,3/1/2015,200.61
Hi,Jon Ayers,Middle Class,South,Florida,Palm Coast,32137,3/2/2015,357.62
Med,Carlos Adkins,Upper-Middle Class,South,Florida,Land O Lakes,34639,3/3/2015,12.98
Not Specified,Rosemary Branch,Upper Class,South,Florida,Boca Raton,33433,3/3/2015,366.44
Hi,Kim Weiss,Middle Class,South,Florida,Miami,33132,3/5/2015,292.49
Lo,Todd D Norris,Upper Class,South,Virginia,Newport News,23602,3/5/2015,291.4
Not Specified,Danny Richmond,Upper Class,South,Florida,Miami,33142,3/5/2015,30.47
Not Specified,Jon Beasley,Upper Class,South,Georgia,Marietta,30062,3/6/2015,21.86
Not Specified,Andrew Connor,Upper Class,South,North Carolina,Wilmington,28403,3/7/2015,2553.25
Not Specified,Jordan Wilkinson,Upper Class,South,Kentucky,Florence,41042,3/7/2015,5872.43
Hi,Edna Pierce,Upper Class,South,North Carolina,Goldsboro,27534,3/8/2015,4258.78
Lo,Kristine Holden,Upper-Middle Class,South,South Carolina,Mauldin,29662,3/8/2015,2875.35
Hi,Michael Shaffer,Upper Class,South,Florida,Kissimmee,34741,3/9/2015,119.78
Lo,Christian Albright,Upper-Middle Class,South,Tennessee,Smyrna,37167,3/9/2015,13.36
Med,Sandra Berry,Middle Class,South,Mississippi,Meridian,39301,3/9/2015,13.57
Not Specified,Arthur Gold,Upper-Middle Class,South,Tennessee,Hendersonville,37075,3/9/2015,17.89
Med,Danielle Baird,Middle Class,South,Florida,Fort Lauderdale,33311,3/10/2015,1316.95
Lo,Craig Wong,Upper-Middle Class,South,Arkansas,Benton,72015,3/11/2015,354.25
Lo,Beverly Cameron,Middle Class,South,North Carolina,Apex,27502,3/12/2015,881.56
Not Specified,Brad Stark,Middle Class,South,North Carolina,Eden,27288,3/12/2015,7.52
Lo,Carolyn Fisher,Upper Class,South,Arkansas,Sherwood,72116,3/13/2015,659.58
Not Specified,Kent Gill,Middle Class,South,Alabama,Opelika,36801,3/14/2015,26.95
Hi,Grace Black,Upper-Middle Class,South,Florida,North Miami Beach,33160,3/15/2015,25.77
Hi,Jacob Burgess,Upper Class,South,North Carolina,Wilson,27893,3/16/2015,47.01
Hi,Julian French,Middle Class,South,Georgia,Warner Robins,31088,3/17/2015,8.6
Hi,Marcia Feldman,Middle Class,South,Arkansas,Little Rock,72209,3/19/2015,1011.44
Not Specified,Joe George,Middle Class,South,Louisiana,Bossier City,71111,3/21/2015,38.04
Not Specified,Katharine Hudson,Upper Class,South,Tennessee,Clarksville,37042,3/22/2015,214.6
Lo,Kathy Norman,Middle Class,South,Virginia,Arlington,22204,3/23/2015,592.79
Lo,Maxine Middleton,Upper Class,South,Mississippi,Pearl,39208,3/24/2015,45.61
Lo,Maxine Middleton,Upper Class,South,Mississippi,Pearl,39208,3/24/2015,54.53
Med,Nathan Newton,Upper Class,South,North Carolina,High Point,27260,3/24/2015,342.71
Lo,Edna Michael,Upper-Middle Class,South,Florida,Port Charlotte,33952,3/25/2015,29.55
Lo,Herbert Holden,Middle Class,South,Georgia,Atlanta,30305,3/25/2015,34.97
Lo,Herbert Holden,Middle Class,South,Georgia,Atlanta,30305,3/25/2015,70.25
Not Specified,Helen Ferguson,Middle Class,South,Florida,Winter Springs,32708,3/26/2015,193.81
Lo,Ellen Blair,Middle Class,South,Florida,Panama City,32404,3/27/2015,19.71
Med,Milton Pollock,Middle Class,South,Alabama,Gadsden,35904,3/27/2015,18.55
Not Specified,Sean Pugh,Middle Class,South,Florida,Sunrise,33322,3/27/2015,330.89
Hi,Carla Braun,Middle Class,South,Tennessee,Maryville,37804,3/28/2015,287.97
Lo,Julie Lang,Upper Class,South,Louisiana,Houma,70364,3/29/2015,53.52
Hi,Edna Goodwin,Upper Class,South,North Carolina,Greensboro,27405,3/30/2015,430.78
Hi,Nicholas Pritchard,Upper Class,South,Tennessee,Bristol,37620,3/30/2015,120.58
Lo,Martin Kirk,Middle Class,South,Virginia,Chesapeake,23320,3/30/2015,42.13
Lo,Renee Huang,Upper-Middle Class,South,Florida,Coral Springs,33065,3/30/2015,61.39
Not Specified,Wayne English,Upper Class,South,Louisiana,New Iberia,70560,3/30/2015,115.22
Hi,Sandra Sharma,Upper-Middle Class,South,Tennessee,Morristown,37814,3/31/2015,390.31
Hi,Joel Burnette,Middle Class,South,Georgia,Dunwoody,30338,4/1/2015,7.67
Lo,Edna Goodwin,Upper Class,South,North Carolina,Greensboro,27405,4/1/2015,995.61
Lo,Constance Ivey,Middle Class,South,Florida,Sarasota,34239,4/2/2015,20.7
Lo,Eleanor Swain,Middle Class,South,North Carolina,Charlotte,28204,4/2/2015,68.46
Med,Beverly Roberts,Upper Class,South,Georgia,Savannah,31401,4/2/2015,824.77
Hi,Andrew Gonzalez,Middle Class,South,North Carolina,Charlotte,28206,4/3/2015,918.54
